iter	Passed	Remaining
1007	242010	124126
1008	242319	123921
1009	242719	123763
1010	243029	123558
1011	243302	123334
1012	243577	123111
1013	243841	122882
1014	244086	122644
1015	244348	122414
1016	244588	122174
1017	244840	121939
1018	245150	121733
1019	245430	121511
1020	245690	121281
1021	245984	121066
1022	246236	120831
1023	246501	120602
1024	246740	120361
1025	246978	120119
1026	247196	119867
1027	247424	119620
1028	247660	119377
1029	247898	119135
1030	248136	118893
1031	248410	118668
1032	248685	118444
1033	248942	118211
1034	249206	117981
1035	249441	117738
1036	249670	117491
1037	250032	117308
1038	250269	117065
1039	250556	116845
1040	250824	116617
1041	251112	116398
1042	251406	116181
1043	251693	115962
1044	251964	115734
1045	252179	115481
1046	252433	115246
1047	252677	115007
1048	252923	114768
1049	253192	114539
1050	253436	114299
1051	253702	114069
1052	253969	113840
1053	254281	113630
1054	254508	113382
1055	254755	113144
1056	255000	112904
1057	255230	112658
1058	255482	112421
1059	255721	112179
1060	255952	111933
1061	256163	111679
1062	256403	111437
1063	256599	111177
1064	256852	110940
1065	257119	110710
1066	257384	110479
1067	257621	110237
1068	257857	109993
1069	258079	109744
1070	258329	109506
1071	258579	109269
1072	258817	109026
1073	259089	108798
1074	259338	108560
1075	259573	108316
1076	259796	108067
1077	260006	107813
1078	260239	107568
1079	260457	107318
1080	260679	107069
1081	260904	106821
1082	261141	106578
1083	261375	106334
1084	261591	106083
1085	261860	105853
1086	262082	105604
1087	262303	105355
1088	262539	105112
1089	262766	104865
1090	263009	104625
1091	263243	104381
1092	263506	104149
1093	263740	103905
1094	263982	103664
1095	264204	103415
1096	264460	103180
1097	264690	102935
1098	264937	102696
1099	265184	102457
1100	265427	102217
1101	265654	101970
1102	265871	101720
1103	266103	101475
1104	266344	101235
1105	266582	100992
1106	266810	100746
1107	267051	100505
1108	267290	100263
1109	267523	100020
1110	267790	99788
1111	268070	99562
1112	268286	99311
1113	268513	99065
1114	268731	98816
1115	268995	98583
1116	269241	98344
1117	269488	98105
1118	269750	97872
1119	269996	97632
1120	270228	97388
